answer,label
"Да, я рассматриваю возможность остаться в компании надолго.",1
Пока не думал(а) об этом.,0
Планирую сменить работу в ближайшее время.,2
"Да, у меня долгосрочные планы в этой компании.",1
Все зависит от обстоятельств.,0
"Сложно сказать, пока не знаю.",0
"Вполне возможно, если все будет хорошо.",1
"Нет, я ищу другие варианты.",2
"Мне нравится моя работа, так что скорее да.",1
"Не могу сказать точно, время покажет.",0
У меня нет причин уходить из компании.,1
"Да, меня все устраивает.",1
Пока рано об этом говорить.,0
"Нет, я не вижу здесь своего будущего.",2
"Возможно, если будут предложены интересные проекты.",1
"Скорее нет, чем да.",2
"Я открыт(а) для предложений, но пока остаюсь здесь.",0
"Да, я доволен(льна) своей работой и компанией.",1
"Нет, я уже ищу новую работу.",2
Все зависит от зарплаты.,0
"Мне нравится коллектив, так что скорее да, чем нет.",1
"Пока не решил(а), но склоняюсь к ""нет"".",2
"Посмотрим, как будут развиваться события.",0
"Да, я вижу здесь перспективы для своего развития.",1
"Нет, меня не устраивают условия работы.",2
"Я бы остался(ась), если бы...",0
"Не уверен(а), что хочу работать здесь долго.",0
"Да, я лоялен(льна) к компании.",1
"Нет, я не вижу здесь возможностей для роста.",2
"Скорее всего, нет.",2
Пока не планирую уходить.,1
Все зависит от руководства.,0
"Да, я ценю стабильность.",1
"Нет, я хочу попробовать себя в чем-то новом.",2
"Возможно, если моя роль в компании изменится.",0
"Да, я доволен своей работой и не планирую уходить в ближайшее время.",1
"Я открыт для новых возможностей, но пока что меня все устраивает.",0
"Нет, я ищу новую работу.",2
"В целом, да, но есть некоторые моменты, которые меня беспокоят.",0
"Пока не могу сказать точно, все зависит от обстоятельств.",0
"Я бы с удовольствием остался, если бы мне предложили повышение зарплаты.",0
Конечно! Я очень лоялен к этой компании.,1
"У меня нет причин уходить, я счастлив здесь.",1
"Нет, я уже нашел другую работу.",2
Я бы предпочел не отвечать на этот вопрос.,0
Я рассматриваю все варианты.,0
"Возможно, в будущем.",0
На данный момент меня все устраивает.,1
"Нет, спасибо.",2
"Я очень ценю компанию и коллег, но ищу новые вызовы.",0
"Да, я вижу свое будущее здесь.",1
Я не думаю об уходе.,1
Ни за что! Я ухожу при первой же возможности.,2
"Все зависит от того, какие возможности мне предложат.",0
"Я открыт для предложений, но пока не планирую уходить.",0
Пока не решил.,0
"Скорее да, чем нет.",1
"Скорее нет, чем да.",2
"Мне нравится моя работа, но я не исключаю возможности смены места работы.",0
Я comprometido с этой компанией.,1
Пока что у меня нет планов уходить.,1
"Я ищу компанию, которая сможет предложить мне больше возможностей для роста.",2
"У меня нет никаких жалоб, я доволен своей работой.",1
"Нет, меня не устраивает атмосфера в коллективе.",2
"Да, я хотел бы построить долгосрочную карьеру в этой компании.",1
Я пока не думал об этом.,0
"Не могу сказать точно, все зависит от обстоятельств.",0
Меня все устраивает.,1
Не совсем.,2
"Думаю, да.",1
Вполне возможно.,0
"Да, безусловно.",1
Совершенно точно нет.,2
На 100% да!,1
"К сожалению, нет.",2
Я рассматриваю разные варианты.,0
Это конфиденциальная информация.,0
Не могу разглашать свои планы.,0
Это не имеет значения.,0
Я сфокусирован на своих задачах.,0
Время покажет.,0
Ничего не могу обещать.,0
"Посмотрим, что будет дальше.",0
У меня есть другие приоритеты.,0
На данный момент я доволен своей ролью.,1
"Я ценю компанию, но...",0
Мне нужно больше информации.,0
Все зависит от руководства.,0
Я не против перемен.,0
Я открыт для предложений о работе.,0
У меня есть амбициозные цели.,0
Я хочу развиваться как профессионал.,0
Я стремлюсь к новым знаниям.,0
Я хочу работать над интересными проектами.,0
Для меня важна корпоративная культура.,0
Я ценю баланс работы и личной жизни.,0
Мне важен профессиональный рост.,0
Я ищу стабильность и уверенность в завтрашнем дне.,0
Мне важно работать в команде профессионалов.,0
Я готов брать на себя ответственность.,0
Я нацелен на результат.,0
Я гибок и легко адаптируюсь к изменениям.,0
Я коммуникабелен и умею работать в команде.,0
У меня есть все необходимые навыки и опыт.,0
"Я уверен, что смогу принести пользу компании.",0
Я готов учиться и развиваться.,0
Я всегда стремлюсь к лучшему.,0
Я позитивный и энергичный человек.,0
Я люблю свою работу.,1
Я получаю удовольствие от своей работы.,1
Я мотивирован на достижение успеха.,1
Я хочу внести свой вклад в развитие компании.,1
"Я горжусь тем, что работаю в этой компании.",1
Я разделяю ценности компании.,1
Я верю в успех компании.,1
Я лоялен к компании.,1
Я рекомендую эту компанию как хорошее место работы.,1
"Да, я рассматриваю такую возможность, если представится интересный проект",0
Пока не думал об этом,0
Все зависит от условий,0
Возможно,1
Сложно сказать,0
"Да, скорее всего",1
"Думаю, да",1
Вполне возможно,1
Пока не решил,0
Все зависит от обстоятельств,0
"Да, если будут хорошие условия",1
Пока не знаю,0
"Скорее да, чем нет",1
Пока рано об этом говорить,0
"Думаю, нет",2
"Нет, я ищу новые возможности",2
"Нет, не планирую",2
Скорее нет,2
"Нет, я уже ищу другую работу",2
"Да, мне нравится моя работа",1
Пока не могу сказать точно,0
Я открыт для предложений,0
Все будет зависеть от перспектив роста,0
"Хотел бы остаться, если будет возможность",1
Я бы хотел(а) развиваться в этой компании,1
"Да, меня все устраивает",1
"Нет, меня не все устраивает",2
"Да, если ничего не изменится",1
"Нет, я хочу сменить сферу деятельности",2
"Возможно, в будущем",1
Пока не готов(а) ответить на этот вопрос,0
Я не исключаю такой возможности,0
Все зависит от предложения,0
Пока не думал(а) об этом,0
"Возможно, если предложат повышение",1
"Нет, я хочу попробовать себя в другом месте",2
Скорее да,1
"Думаю, что да",1
Не уверен(а),0
Я на распутье,0
Время покажет,0
"Посмотрим, как сложатся обстоятельства",0
Покажет время,0
"Да, если компания будет двигаться в том же направлении",1
"Нет, хочу большего",2
"Не уверен, что хочу остаться",2
"Нет, ищу более высокооплачиваемую работу",2
"Да, мне нравится коллектив",1
"Да, у меня здесь много друзей",1
"Нет, у меня не складываются отношения с руководством",2
Пока что меня все устраивает,0
"Да, если будет возможность для профессионального роста",1
"Нет, я не вижу здесь перспектив для себя",2
"Да, компания предоставляет хорошие условия труда",1
"Нет, не устраивает заработная плата",2
"Да, я loyal к этой компании",1
"Нет, я не вижу смысла оставаться",2
Все зависит от моего будущего руководителя,0
Я бы хотел(а) узнать больше о планах компании,0
"Да, если компания будет развиваться",1
"Нет, компания стоит на месте",2
"Да, я верю в успех компании",1
"Нет, у меня другие планы на жизнь",2
Я готов(а) рассмотреть все варианты,0
Пока не могу ничего обещать,0
Мне нужно больше информации,0
Все зависит от моих личных обстоятельств,0
Я не буду загадывать наперед,0
Жизнь - непредсказуема,0
Никогда не говори никогда,0
Все возможно,0
Посмотрим,0
Время покажет,0
"Да, я доволен(льна) своей работой",1
"Да, я ценю стабильность",1
"Нет, я хочу перемен",2
"Нет, я устал(а)",2
"Да, у меня есть цели в этой компании",1
"Нет, у меня нет мотивации",2
"Да, мне нравится моя команда",1
"Нет, у меня конфликт с коллегами",2
"Да, я вижу свое будущее в этой компании",1
"Нет, я не вижу себя здесь через год",2
"Да, у меня большие планы",1
"Нет, я хочу отдохнуть от работы",2
"Да, если компания поддержит мои идеи",1
"Нет, мои идеи не находят поддержки",2
"Да, я чувствую себя частью команды",1
"Нет, я чувствую себя одиночкой",2
"Да, я горжусь тем, что работаю здесь",1
"Нет, мне стыдно говорить, где я работаю",2
"Да, я рекомендую эту компанию как хорошее место работы",1
"Нет, я бы не рекомендовал(а) эту компанию",2
"Да, я получаю удовольствие от работы",1
"Нет, я работаю только ради денег",2
Пока не задумывался об этом,0
Планирую остаться,1
У меня долгосрочные планы в компании,1
Все зависит от условий,0
Сложно сказать,0
Пока не знаю,0
"Все нравится, остаюсь",1
Ищу другие варианты,2
Нет,2
Да,1
Возможно,0
В процессе принятия решения,0
"Скорее да, чем нет",1
"Скорее нет, чем да",2
50/50,0
Пока работаю здесь,1
Не могу сказать точно,0
Время покажет,0
"Посмотрим, как пойдет",0
Открыт к предложениям,0
Все устраивает,1
Не уверен,0
Немного сомневаюсь,0
Пока комфортно здесь,1
Нравится команда,1
"Есть, что предложить компании",1
Планов уходить нет,1
Зависит от обстоятельств,0
Не исключаю такой возможности,1
Не могу дать однозначный ответ,0
Рассматриваю разные варианты,0
Пока рано говорить,0
Поживем - увидим,0
Доволен текущей ситуацией,1
В поиске новых вызовов,2
Открыт для нового опыта,2
Хочу развиваться в другой сфере,2
Не вижу перспектив здесь,2
Ищу более высокую зарплату,2
Не устраивает руководство,2
Хочу сменить обстановку,2
Некомфортно на текущем месте,2
Есть более интересные предложения,2
Планирую переезд,2
Заканчиваю обучение,2
Хочу сконцентрироваться на семье,2
Ухожу на пенсию,2
Буду фрилансером,2
Открываю свой бизнес,2
Не вижу смысла оставаться,2
Ищу стабильности,1
Здесь хорошие условия труда,1
Удобный график,1
Нравится коллектив,1
Чувствую себя частью команды,1
Доверяю руководству,1
Вижу перспективы роста,1
Компания ценит своих сотрудников,1
Достойная оплата труда,1
Интересные задачи,1
Возможность профессионального развития,1
Комфортное рабочее место,1
Удобное расположение офиса,1
Хорошая репутация компании,1
Стабильная компания,1
Возможность обучения за счет компании,1
Социальный пакет,1
Корпоративная культура,1
Приятная атмосфера в коллективе,1
Возможность работать удаленно,1
Гибкий график работы,1
Баланс работы и личной жизни,1
Возможность влиять на свой доход,1
Прозрачная система мотивации,1
Карьерный рост,1
Новые задачи и проекты,1
Возможность реализовать свой потенциал,1
Работа в команде профессионалов,1
Приобретение новых знаний и навыков,1
Развитие лидерских качеств,1
Возможность путешествовать,1
Работа с интересными клиентами,1
Участие в интересных проектах,1
Вклад в общее дело,1
Положительное влияние на мир,1
Чувство удовлетворения от работы,1
"Да, я планирую остаться в компании надолго.",1
"Нет, я ищу другие возможности.",2
"Пока не определился, все зависит от обстоятельств.",0
"В целом, меня все устраивает.",0
"Пока рано говорить, я только начал работать здесь.",0
"Да, мне нравится моя работа и коллектив.",1
"Возможно, если будут интересные проекты.",0
"Скорее нет, чем да.",2
"Да, я вижу здесь перспективы для своего развития.",1
"Нет, меня не устраивает заработная плата.",2
"Мне нравится моя команда, но я открыт для предложений.",0
"Все зависит от того, как будет развиваться моя карьера здесь.",0
Я люблю свою работу и не планирую уходить.,1
Пока не думал об этом.,0
"Нет, я хочу сменить сферу деятельности.",2
"Да, меня все устраивает, я не вижу причин уходить.",1
"Возможно, если предложат повышение.",0
"Скорее да, чем нет.",1
"Нет, компания не соответствует моим ценностям.",2
Я доволен своей работой и не ищу другую.,1
"Я бы хотел получить больше ответственности, тогда точно останусь.",0
"Нет, я не вижу здесь будущего для себя.",2
Пока что мне здесь нравится.,0
"Да, я верю в успех этой компании.",1
"Я открыт для новых возможностей, но не ищу их активно.",0
"Нет, у меня есть другие планы на будущее.",2
"Да, у меня долгосрочные цели, связанные с этой компанией.",1
"Не могу сказать точно, все зависит от обстоятельств.",0
Я сосредоточен на своей работе и пока не думал об уходе.,0
"Нет, я не чувствую здесь себя комфортно.",2
"Да, я ценю стабильность и надежность.",1
"Я бы остался, если бы были возможности для роста.",0
"Нет, меня не устраивает график работы.",2
"Да, меня вдохновляет миссия компании.",1
"Все зависит от того, какие возможности мне предложат.",0
"Я не планировал уходить, но и не исключаю такой возможности.",0
"Нет, я хочу работать на себя.",2
"Да, я вижу потенциал в своей должности.",1
Я пока не принял решение.,0
"Нет, мне не нравится корпоративная культура.",2
"Да, я доволен условиями труда.",1
"Возможно, если мне предложат более интересную должность.",0
"Нет, я переезжаю в другой город.",2
"Да, я чувствую, что меня ценят и уважают.",1
Все зависит от предложений на рынке труда.,0
"Я люблю вызовы и не боюсь перемен, так что посмотрим.",0
"Нет, я хочу больше зарабатывать.",2
"Да, я привязан к своему коллективу.",1
"Я останусь, если мне предложат развитие в профессиональном плане.",0
"Нет, компания нестабильна.",2
"Да, у меня есть амбициозные планы, которые я хочу реализовать здесь.",1
"Мне нравится моя работа, но я не исключаю возможности смены компании.",0
"Нет, я хочу работать удаленно.",2
"Да, я чувствую свою значимость в этой компании.",1
"Возможно, если руководство изменится.",0
"Нет, меня не устраивает руководство.",2
"Да, я верю в перспективы роста компании.",1
Я нахожусь в поиске лучшего предложения.,0
"Нет, я хочу проводить больше времени с семьей.",2
"Да, я доволен балансом работы и личной жизни.",1
"Все зависит от того, какие задачи будут передо мной стоять.",0
"Я не против остаться, если мне предложат что-то стоящее.",0
"Нет, я не вижу здесь возможностей для профессионального роста.",2
"Да, я разделяю ценности компании.",1
Я сфокусирован на настоящем моменте и пока не думал о будущем.,0
"Нет, я устал от рутины.",2
"Да, меня мотивирует команда профессионалов.",1
"Возможно, если улучшатся условия труда.",0
"Нет, я хочу работать в более крупной компании.",2
"Да, я горжусь тем, что работаю в этой компании.",1
Я не могу дать однозначного ответа.,0
"Нет, я хочу попробовать себя в другом направлении.",2
"Да, я верю в то, что делаю.",1
"Возможно, если появится интересный проект.",0
"Нет, мне не хватает свободы действий.",2
"Да, я вижу, как мои усилия влияют на результат.",1
Пока я не рассматриваю другие варианты.,0
"Я ценю время, проведенное в компании, но решил двигаться дальше.", 2
"У меня много положительных впечатлений о работе здесь, но я готов к новым вызовам.", 1
"Сейчас я фокусируюсь на своем следующем шаге и не планирую оставаться.", 2
"Я открыт для будущих возможностей, если они возникнут.", 1
"Мне нравится эта компания, но я чувствую, что пришло время попробовать что-то новое.", 2
