answer,label
может быть вернучь когда-нибудь,0
Описано выше,0
"да, но не по направлению SAP BI",0
"Если пойму, что ""голая"" разработка кода меня интересует больше, чем работа с информационной безопасностью, которую предложили на новой работе, обязательно вернусь в Гринатом, здесь мне нравилось практически все",1
Когда декларируемые приоритеты начнут воплощать в жизнь. ,0
"Я всегда оставляю возможность вернуться в компанию, в которой ранее работал",0
Возможно в дальнейшем. ,0
"При условии нахождения компромисса по графику, режиму работы",0
Хочется развития,0
"Скорее нет, т к возраст 60, возможность работы только удаленно",2
"Если будет подходящая вакансия в городе, где я буду проживать.",0
В связи с переездом в другой город,0
Если сменится директор - тогда может быть,0
На решение руководства,0
"в будущем да, при наличии интересных задач",1
При повышении ЗП рассмотрю вариант возвращения,1
Если существенно сменится в лучшую сторону финансовая политика компании готов вернуться.,1
В случае предложения достойной заработной платы и должности я рассмотрю возможность возвращения в компанию.,1
"да, я вижу возможность приложения своих знаний и опыта в отрасли",1
Однозначно. Росатом - одна из лучших компаний России.,1
Рассматриваю только после наведения порядка в Блоке цифровизации,0
если восстановят прежние условия по оплате,0
...мог бы рассмотреть возможность работы на новых отраслевых объектах.,1
"Мне нравилось тут работать, но к бюрократиии я так и не смог привыкнуть.",2
В настоящее время,0
Возможно Департамент ИБ. За исключением Департамента управления проектами.,0
на текущий момент не рассматриваю,0
"Да, с удовольствем рассмотрела бы данный вариант. Органзация прекрасная!",1
все возможно в жизни.,0
"Произвол и неорганизованность, поэтому нет.",2
"Должны быть нацеленность на результат, а также необходимые ресурсы для этого",0
Если фокус внимания сместится на набор и удержание квалифицированных инженеров,0
120000р/мес,1
"Переезжаю в другой город, к сожалению там нет филиала АО "" Атомэнергопроект"" ",2
"Рассматриваю возвращение в Госкорпорацию ""Росатом"", в АО ""ГНЦ РФ ТРИНИТИ""- нет. ",0
На текущий момент нет,0
При условии что трудовая инспекция наведет порядок,0
если не будет отчета СУРВ,0
Если будет интересное предложение,0
"Да, только не в Атомтехэнерго",0
"Возможность вернуться в отрасль рассматриваю, но только в исследовательский институт",1
В случае смены директора,0
Нет. В ОИЦ НИКИМТ нет перспектив.,2
в текущих условия ИТ-сферы и оплаты труда в компании не рассматриваю. ,2
Остаёмся по совместительству,0
Рассмотрю только центральные офисы,0
"Если в компании/отрасли начнут ценить профессиональные кадры и относиться к ним с должным уважением, а ""у руля"" встанут действительно эффективные менеджеры. ",2
Да. Только таким путем можно поднять уровень з/п,1
Но точно не в мое подразделение.,2
В случае координального изменения отношения к персоналу со стороны руководства. Не на сменный график.,2
При существенном увеличении заработной платы готов рассмотреть возможность вернуться в компанию. ,1
город Балаково,0
На данный момент в АО ЗиО-Подольск возвращаться не хочу.,2
После прохождения лечения по месту жительства,0
При условии появления интересной вакансии в будущем готова буду рассмотреть этот вариант.,0
"ГА хороший работодатель. Вполне возможно возвращение, но уже на другую функциональную должность или продукт",1
"Если будет интересная вакансия, перспектива роста и развития с увеличением дохода, с удовольствием предложу свою кандидатуру рекрутерам. ",1
"Вероятно, после завершения обучения и получения степени к.ф-м.н",0
"При необходимости изменения условий работы согласилась бы только на возвращение на АЭХК из-за благополучных внутренних взаимоотношений с коллективом, организации рабочего процесса, гарантий, предоставляемых работникам",1
при достойном уровне заработной платы,1
Предложений не поступало. ,0
"Возможно, через несколько лет",0
Да подал свое резюме на АКУЮ ,1
В данную компанию пока не готова вернуться (по крайней мере с текущим руководством и организацией системы управления в целом по предприятию).,2
На данный момент нет.,0
"Руководитель после моего ухода объявил, что назад дороги нет :) Воспринимаю как манипуляцию, назад и не хочется",2
Только после изменения методов руководства.,0
"в будущем, при наличинии интересующей меня вакансии, готов рассмотреть возможность возвращения ",1
не берут,2
"Возможно, если ситуация изменится по отношению к нанимаемым сотрудникам",0
"В случае изменения стиля руководства, введения гуманистических ценностей, соблюдения компанией work-life balance, уважительного отношения к сотрудникам. ",1
"Может быть, когда непосредственные руководители сменяться (а это бывает очень часто) и процессы импортозамещения будут в менее острой фазе.",0
"когда выйду на пенсию по вредности, через 8 лет",2
"В нашей жизни, все возможное. Отношение к компании у меня только положительное. ",1
только не в ГСПИ,0
"Работа очень интересная, уникальный опыт в проектировании, прекрасный коллектив БКП-2 ",1
При наличии компании в городе проживания,0
"В случае если предложат зп хотя бы приближенную к той, что мне предложили (+-5-7 тыс. руб.) + должность выше",1
"Да, при условии упрощения и оптимизации бюрократических процессов.",0
"Если улучшатся условия (компенсация жилья, питания, транспорт от/до работы; нормальный интернет). ",1
"Но к сожалению, проработав в электроэнергетическом дивизионе более 20 лет, мне в КОНСИСТ-ОС не пологается годовая премия кратная отработанным 6 месяцем 2024 года. Хотя все поставленные задачи были выполнены в срок. В этом вопросе у руководства отсутствует желание положительно решить для меня этот важный момент. Честно говоря первый раз такое встречаю в Росатом. ",2
"При наличии уместного предложения рад буду не только вернуться в компанию, но и не уходить из неё:) ",1
перевод внутри организации в другой отдел ,0
повышение заработнойплаты на 50%,1
"Хочу попробовать пожить в другой стране. Если не понравится, рассматриваю вариант вернуться.",0
когда полностью восстановлюсь планирую вернуться,0
