answer,label
"да, могу рекомендовать",1
"Не все руководители токсичны и газлайтят + в организации очень много хороших коллег. Но в отделе (блок международных партнерств и инициатив) вся деятельность пустая, т.е. отдел ничего не производит, кроме пыли в глаза. Все мероприятия и сливание сотен миллионов только для того, чтобы СМИ написали хорошо про отрасль. А в отделе не всем дают ДМС, зп 60 тысяч, когда сотрудник работает по 10-12 часов в сутки. Обещают премии, потом отказываются от своих слов. Зато лучше эти деньги потратить на бессмысленные мероприятия Пир во время чумы.",2
"У меня нет информации по другим вакансиям и стажировкам. Эту стажировку (направление стажировки SAP BI), я бы не порекомендовала, но, возможно, по другим направлениям стажировок и вакансиям другая ситуация, и тогда я могла бы порекомендовать.",0
"Остались положительные впечатления от работы в целом, руководителей, коллег по управлению, коллег из других управлений. Могу отметить как плюсы, наличие ДМС, поликлинники на Савушкина, 82.",1
"Политика Гринатома мне очень импанирует. Корпоративные системы кажутся понятными и удобными в использовании. Коллеги очень классные! Участие в спортивных мероприятиях, активности для сотрудников. Это отличные инструменты для мотивации и повышения продуктивности! Благодарна за все дни, проведенные в Гринатоме.",1
"Росатом в целом и РВГ в частности, действительно, очень хорошая компания. Просто пришло время :) ",1
"Стабильная заработная плата, удовлетворительный уровень дохода, комфортные условия труда",1
Росатом делает важное дело.,1
"Компания понравилась своим подходом к обучению сотрудника, информированием, оганизованностью.",1
"Хороши, надежный работодатель. ",1
Обязательно,1
"Компания ведущая в отрасли, зарплата нормальная, много различных мероприятий.",1
Росатом хорошая компания,1
"У Руководства неверный подход к работникам, обязанностей больше и больше, а ЗП не меняется, надбавок и доплат нет. Руководству проще уволить опытного сотрудника и нанять нового (а нового сотрудника необходимо еще обучить всему)",2
"В компании отличный коллектив, профессионалы своего дела; компания входит в структуру Росатома, выполняет свою, очень важную задачу; масса мероприятий и событий; возможность повышения квалификации в образовательных учреждениях Росатома",1
С финансовой точки зрения для опытных специалистов нет. С остальных точек зрения вполне да.,0
"Замечательный сплоченный коллектив профессионалов, хорошее, внимательное отношение руководства к своим сотрудникам.",1
"На данном этапе, компанию можно рекомендовать только недавно выпустившимся студентам для получения базового опыта для работы на 2-3 года. К сожалению, в текущих условиях, на своём же опыте, я не могу рекомендовать компанию для высококвалифицированных специалистов или же для долгосрочной работы людям, планирующим развиваться.",0
В настоящий момент затрудняюсь ответить. Раньше всегда рекомендовала.,0
Как временное решение или в определенных ситуациях,0
про компанию в целом могу сказать только хорошее: я вижу положительные моменты как в проводимой кадровой политике так и в использовании современных технологий ,1
Могу рекомендовать компанию для начинающих специалистов. В определенный момент наступает барьер для развития карьеры.,1
Однозначно готов рекомендовать.,1
"Ответ относится конкретно к НИИграфит, так как обстоят дела в отрасли в целом, мне неизвестно.",0
На свою должность - нет.,0
"Спасибо за то, что я была частью Росатом! Это замечательная компания.
Я очень расстроена из-за ухода, т.к. планировала работать долго.",1
"В плюсы - соцпакет, условия труда. В минусы - низкая зп для исполняемых обязанностей, бюрократия.",0
"ГК Росатом, Концерн Росэнергоатом - отличные, развивающиеся, перспективные компании!",1
"Да, готов рекомендовать. Но про бюрократию расскажу обязательно.",1
"Большое спасибо за полученный опыт! Было приятно работать! К сожалению, в последнее время зарплата стала неудовлетворять по причине инфляции и увличения цены продуктов. Обиднее, что новых сотрудников принимают в штат с более высокими зароботными платами. Образуется финансовое неравенство. Складываются ситуации, что и опыта больше, особенно если человек не из отрасли приходит, и помогаешь, обучаешь, а у нового сотрудника оплата выше, потому что рынок стал выше. Обратите, пожалуйста, внимание на данный факт. Этот вопрос особенно актуален с сотрудниками работающими более 5 лет. Возможно, стоит ввести надбавку за стаж.",2
"Конечно нет. Нагрузка превышает все нормы-часы. Созданы фиктивные группы, в которых состоят по одному человеку, а обязанности как на всю группу. Многозадачность. А самое главное другое.
Если провести проверки деятельности опытного завода, то для многих грозит ответственность и не только административная.",2
"На данном этапе нет. К сожалению, у компании нисходящая динамика. Необходим импульс к развитию (четкие цели, планы и общее стремление их реализовать, инвестиии в развитие, повышение з/п, обучение и развитие сорудников) ",2
